City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
124,Eydhafushi,MV,2022-08-16 19:31:03,5.1033,73.0708,80.29,75,12,5.39,few clouds
125,Kyzyl-Suu,KG,2022-08-16 19:31:03,42.3414,78.0056,59.81,59,65,2.62,broken clouds
126,Bulungu,CD,2022-08-16 19:31:04,-4.55,18.6,81.16,34,51,4.12,broken clouds
127,Evensk,RU,2022-08-16 19:31:05,61.95,159.2333,49.8,93,100,17.2,light rain
128,Nouadhibou,MR,2022-08-16 19:31:05,20.931,-17.0347,75.18,73,3,26.46,sand
129,Constitucion,CL,2022-08-16 19:31:06,-35.3333,-72.4167,52.79,96,100,10.09,overcast clouds
130,Sao Filipe,CV,2022-08-16 19:31:06,14.8961,-24.4956,79.21,81,35,11.5,scattered clouds
131,Qaqortoq,GL,2022-08-16 19:30:30,60.7167,-46.0333,41.65,90,100,15.37,light rain
132,Kodiak,US,2022-08-16 19:31:09,57.79,-152.4072,54.91,88,100,12.66,mist
133,Avarua,CK,2022-08-16 19:31:10,-21.2078,-159.775,69.85,64,75,11.5,light rain
134,Sao Joao Da Barra,BR,2022-08-16 19:31:11,-21.6403,-41.0511,80.69,77,0,22.77,clear sky
135,Taguatinga,BR,2022-08-16 19:31:11,-12.3857,-46.5711,93.65,18,18,5.06,few clouds
136,Alofi,NU,2022-08-16 19:31:02,-19.0595,-169.9187,73.29,64,95,24.16,overcast clouds
137,Sechura,PE,2022-08-16 19:31:11,-5.5569,-80.8222,73.9,59,15,14.07,few clouds
138,Tiksi,RU,2022-08-16 19:31:12,71.6872,128.8694,45.1,89,12,6.17,few clouds
139,Seoul,KR,2022-08-16 19:30:05,37.5683,126.9778,72.79,94,40,2.3,scattered clouds
140,Dunedin,NZ,2022-08-16 19:30:43,-45.8742,170.5036,52.81,91,100,1.72,overcast clouds
141,Sartana,UA,2022-08-16 19:31:12,47.1744,37.6927,74.53,74,11,6.67,few clouds
142,Lebu,CL,2022-08-16 19:31:12,-37.6167,-73.65,50.41,88,100,15.9,overcast clouds
143,Opuwo,NA,2022-08-16 19:31:13,-18.0607,13.84,65.35,18,0,2.48,clear sky
